epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,2202.22,0.94749,0.12199,0.09439,0.60069,1.09192,0.99571,0.88,0.92316,0.46577,1,0.9345,0.9853,0.95797,1.81007,0.1753,0.03619,0.79486,1.89173,0.0007724,0.0007724,0.0007724
64,2235.1,0.95148,0.12422,0.08998,0.60448,1.0939,0.95631,0.87573,0.92817,0.51896,0.98271,1,0.995,0.9758,1.69785,0.16331,0.02001,0.75495,1.72041,0.0007526,0.0007526,0.0007526
65,2267.68,0.93245,0.1268,0.08814,0.60017,1.08372,0.98969,0.88,0.90148,0.53266,1,0.90909,0.97097,0.95272,1.60931,0.20127,0.04202,0.68611,1.63878,0.0007328,0.0007328,0.0007328
66,2302.31,0.9235,0.12515,0.08992,0.59459,1.08543,0.95133,0.88,0.92118,0.52665,0.99458,0.92,0.98641,0.95712,1.65324,0.19543,0.02291,0.68753,1.67075,0.000713,0.000713,0.000713
67,2335.16,0.90101,0.13239,0.08671,0.57934,1.06967,0.95537,0.92,0.95008,0.50732,0.96118,0.99071,0.99038,0.96366,1.71795,0.17969,0.0355,0.74651,1.78132,0.0006932,0.0006932,0.0006932
68,2367.81,0.89577,0.11198,0.08829,0.58121,1.07347,0.98723,0.88,0.91232,0.5115,0.99714,0.92,0.98504,0.94494,1.66659,0.20222,0.04413,0.7573,1.74896,0.0006734,0.0006734,0.0006734
69,2403.39,0.90715,0.12705,0.09227,0.59184,1.07594,0.99575,0.88,0.9633,0.52512,0.96121,0.99139,0.99192,0.96647,1.62259,0.18844,0.03808,0.68838,1.72225,0.0006536,0.0006536,0.0006536
70,2437.34,0.89051,0.11923,0.09343,0.58492,1.07763,0.99669,0.92,0.96146,0.51173,1,0.95668,0.99346,0.96414,1.68019,0.16972,0.02933,0.6892,1.79243,0.0006338,0.0006338,0.0006338
71,2472.33,0.87074,0.13396,0.08945,0.56519,1.0631,0.98877,0.92,0.96245,0.53232,0.98877,0.92,0.98526,0.96636,1.67039,0.15575,0.02328,0.68695,1.76572,0.000614,0.000614,0.000614
72,2504.75,0.87526,0.11288,0.09012,0.55045,1.05494,0.95573,0.84,0.90063,0.52109,0.95413,0.92,0.97948,0.95055,1.62254,0.16818,0.03727,0.69023,1.76211,0.0005942,0.0005942,0.0005942
73,2537.48,0.85449,0.11836,0.0827,0.55954,1.04785,0.91104,0.84,0.8707,0.50209,0.95327,0.92,0.98,0.94473,1.6919,0.21528,0.06338,0.76143,1.80091,0.0005744,0.0005744,0.0005744
74,2571.65,0.85435,0.10314,0.08264,0.55084,1.05161,1,0.91673,0.96332,0.52608,1,0.91673,0.98526,0.96121,1.62112,0.17384,0.04425,0.71848,1.70068,0.0005546,0.0005546,0.0005546
75,2604.32,0.83287,0.11547,0.08965,0.54201,1.04908,0.91567,0.88,0.89367,0.5166,0.92259,0.95365,0.97967,0.95377,1.54837,0.17562,0.03896,0.67843,1.63202,0.0005348,0.0005348,0.0005348
76,2639.29,0.82165,0.10075,0.08392,0.52076,1.0386,0.98846,0.88,0.90148,0.52227,0.95993,0.95826,0.99044,0.94863,1.62088,0.21821,0.02999,0.65447,1.80031,0.000515,0.000515,0.000515
77,2672.81,0.83156,0.11037,0.08851,0.5438,1.04516,0.9927,0.88,0.89966,0.51375,0.95711,0.96,0.98788,0.95365,1.57559,0.2183,0.02073,0.66974,1.71768,0.0004952,0.0004952,0.0004952
